Variable,Label,Value Coding,,,,,,
location_id,Location ID,See below for location_id values.,,,,,,
location,Country ISO 3166-1 Alpha-3 Code or GBD Region Code,See below for location values.,,,,,,
location_name,Location Name,See below for location_name values.,,,,,,
year,Year,1990; 1991; 1992; 1993; 1994; 1995; 1996; 1997; 1998; 1999; 2000; 2001; 2002; 2003; 2004; 2005; 2006; 2007; 2008; 2009; 2010; 2011; 2012; 2013,,,,,,
age_group_id,Age Group ID,See below for age_group_id values.,,,,,,
age_group,Age Group,See below for age_group values.,,,,,,
age_start,Age Start,See below for age_start values.,,,,,,
age_end,Age End,See below for age_end values.,,,,,,
sex_id,Sex ID,1; 2; 3,,,,,,
sex,Sex   ,male; female; both,,,,,,
unit,Unit,pct,,,,,,
metric,Metric,obese; overweight,,,,,,
measure,Measure,prevalence,,,,,,
mean,Prevalence as Percent,,,,,,,
lower,Prevalence as Percent - 95% Uncertainty Interval - Lower,,,,,,,
upper,Prevalence as Percent - 95% Uncertainty Interval - Upper,,,,,,,
,,,,,,,,
,,,,,,,,
location_id,location,location_name,,,age_group_id,age_group,age_start,age_end
160,AFG,Afghanistan,,,34,2 to 4 yrs,2,4
168,AGO,Angola,,,36,"2 to 19 yrs, age-standardized",2,19
43,ALB,Albania,,,6,5 to 9 yrs,5,9
74,AND,Andorra,,,7,10 to 14 yrs,10,14
156,ARE,United Arab Emirates,,,8,15 to 19 yrs,15,19
97,ARG,Argentina,,,9,20 to 24 yrs,20,24
33,ARM,Armenia,,,38,"20+ yrs, age-standardized",20,100
105,ATG,Antigua and Barbuda,,,10,25 to 29 yrs,25,29
71,AUS,Australia,,,11,30 to 34 yrs,30,34
75,AUT,Austria,,,12,35 to 39 yrs,35,39
34,AZE,Azerbaijan,,,13,40 to 44 yrs,40,44
175,BDI,Burundi,,,14,45 to 49 yrs,45,49
76,BEL,Belgium,,,15,50 to 54 yrs,50,54
200,BEN,Benin,,,16,55 to 59 yrs,55,59
201,BFA,Burkina Faso,,,17,60 to 64 yrs,60,64
161,BGD,Bangladesh,,,18,65 to 69 yrs,65,69
45,BGR,Bulgaria,,,19,70 to 74 yrs,70,74
140,BHR,Bahrain,,,20,75 to 79 yrs,75,79
106,BHS,The Bahamas,,,21,80+ yrs,80,100
44,BIH,Bosnia and Herzegovina,,,,,,
57,BLR,Belarus,,,,,,
108,BLZ,Belize,,,,,,
121,BOL,Bolivia,,,,,,
135,BRA,Brazil,,,,,,
107,BRB,Barbados,,,,,,
66,BRN,Brunei,,,,,,
162,BTN,Bhutan,,,,,,
193,BWA,Botswana,,,,,,
169,CAF,Central African Republic,,,,,,
101,CAN,Canada,,,,,,
94,CHE,Switzerland,,,,,,
98,CHL,Chile,,,,,,
6,CHN,China,,,,,,
205,CIV,Cote d'Ivoire,,,,,,
202,CMR,Cameroon,,,,,,
171,COD,Democratic Republic of the Congo,,,,,,
170,COG,Congo,,,,,,
125,COL,Colombia,,,,,,
176,COM,Comoros,,,,,,
203,CPV,Cape Verde,,,,,,
126,CRI,Costa Rica,,,,,,
109,CUB,Cuba,,,,,,
77,CYP,Cyprus,,,,,,
47,CZE,Czech Republic,,,,,,
2,D0,Developing,,,,,,
3,D1,Developed,,,,,,
81,DEU,Germany,,,,,,
177,DJI,Djibouti,,,,,,
110,DMA,Dominica,,,,,,
78,DNK,Denmark,,,,,,
111,DOM,Dominican Republic,,,,,,
139,DZA,Algeria,,,,,,
122,ECU,Ecuador,,,,,,
141,EGY,Egypt,,,,,,
178,ERI,Eritrea,,,,,,
92,ESP,Spain,,,,,,
58,EST,Estonia,,,,,,
179,ETH,Ethiopia,,,,,,
79,FIN,Finland,,,,,,
22,FJI,Fiji,,,,,,
80,FRA,France,,,,,,
25,FSM,Federated States of Micronesia,,,,,,
1,G,Global,,,,,,
173,GAB,Gabon,,,,,,
95,GBR,United Kingdom,,,,,,
35,GEO,Georgia,,,,,,
207,GHA,Ghana,,,,,,
208,GIN,Guinea,,,,,,
206,GMB,The Gambia,,,,,,
209,GNB,Guinea-Bissau,,,,,,
172,GNQ,Equatorial Guinea,,,,,,
82,GRC,Greece,,,,,,
112,GRD,Grenada,,,,,,
128,GTM,Guatemala,,,,,,
113,GUY,Guyana,,,,,,
129,HND,Honduras,,,,,,
46,HRV,Croatia,,,,,,
114,HTI,Haiti,,,,,,
48,HUN,Hungary,,,,,,
11,IDN,Indonesia,,,,,,
163,IND,India,,,,,,
84,IRL,Ireland,,,,,,
142,IRN,Iran,,,,,,
143,IRQ,Iraq,,,,,,
83,ISL,Iceland,,,,,,
85,ISR,Israel,,,,,,
86,ITA,Italy,,,,,,
115,JAM,Jamaica,,,,,,
144,JOR,Jordan,,,,,,
67,JPN,Japan,,,,,,
36,KAZ,Kazakhstan,,,,,,
180,KEN,Kenya,,,,,,
37,KGZ,Kyrgyzstan,,,,,,
10,KHM,Cambodia,,,,,,
23,KIR,Kiribati,,,,,,
68,KOR,South Korea,,,,,,
145,KWT,Kuwait,,,,,,
12,LAO,Laos,,,,,,
146,LBN,Lebanon,,,,,,
210,LBR,Liberia,,,,,,
147,LBY,Libya,,,,,,
116,LCA,Saint Lucia,,,,,,
17,LKA,Sri Lanka,,,,,,
194,LSO,Lesotho,,,,,,
60,LTU,Lithuania,,,,,,
87,LUX,Luxembourg,,,,,,
59,LVA,Latvia,,,,,,
148,MAR,Morocco,,,,,,
61,MDA,Moldova,,,,,,
181,MDG,Madagascar,,,,,,
14,MDV,Maldives,,,,,,
130,MEX,Mexico,,,,,,
24,MHL,Marshall Islands,,,,,,
49,MKD,Macedonia,,,,,,
211,MLI,Mali,,,,,,
88,MLT,Malta,,,,,,
15,MMR,Myanmar,,,,,,
50,MNE,Montenegro,,,,,,
38,MNG,Mongolia,,,,,,
184,MOZ,Mozambique,,,,,,
212,MRT,Mauritania,,,,,,
183,MUS,Mauritius,,,,,,
182,MWI,Malawi,,,,,,
13,MYS,Malaysia,,,,,,
195,NAM,Namibia,,,,,,
213,NER,Niger,,,,,,
214,NGA,Nigeria,,,,,,
131,NIC,Nicaragua,,,,,,
89,NLD,Netherlands,,,,,,
90,NOR,Norway,,,,,,
164,NPL,Nepal,,,,,,
72,NZL,New Zealand,,,,,,
150,OMN,Oman,,,,,,
165,PAK,Pakistan,,,,,,
132,PAN,Panama,,,,,,
123,PER,Peru,,,,,,
16,PHL,Philippines,,,,,,
26,PNG,Papua New Guinea,,,,,,
51,POL,Poland,,,,,,
7,PRK,North Korea,,,,,,
91,PRT,Portugal,,,,,,
136,PRY,Paraguay,,,,,,
149,PSE,Palestine,,,,,,
151,QAT,Qatar,,,,,,
65,R1,High-income Asia Pacific,,,,,,
73,R10,Western Europe,,,,,,
120,R11,Andean Latin America,,,,,,
124,R12,Central Latin America,,,,,,
96,R13,Southern Latin America,,,,,,
134,R14,Tropical Latin America,,,,,,
138,R15,North Africa and Middle East,,,,,,
100,R16,High-income North America,,,,,,
21,R17,Oceania,,,,,,
167,R18,Central Sub-Saharan Africa,,,,,,
